iter	Passed	Remaining
0	682	1365088
1	956	956032
2	1198	797950
3	1385	691166
4	1527	609309
5	1645	546782
6	1732	493154
7	1841	458638
8	1935	428253
9	2031	404213
10	2118	383070
11	2203	365026
12	2266	346351
13	2363	335274
14	2436	322477
15	2529	313702
16	2627	306547
17	2721	299654
18	2817	293760
19	2952	292306
20	3150	296894
21	3226	290120
22	3305	284130
23	3388	278996
24	3420	270213
25	3504	266061
26	3597	262906
27	3659	257725
28	3749	254815
29	3830	251559
30	3903	247903
31	3991	245497
32	4076	242994
33	4155	240277
34	4233	237656
35	4315	235447
36	4401	233497
37	4486	231660
38	4582	230407
39	4672	228939
40	4726	225828
41	4814	224463
42	4898	222925
43	4984	221605
44	5055	219640
45	5091	216276
46	5182	215329
47	5258	213838
48	5338	212560
49	5410	211015
50	5452	208358
51	5539	207503
52	5622	206560
53	5703	205547
54	5779	204399
55	5867	203693
56	5940	202510
57	6023	201670
58	6106	200903
59	6192	200217
60	6271	199364
61	6313	197339
62	6411	197127
63	6501	196669
64	6590	196194
65	6683	195857
66	6760	195036
67	6807	193413
68	6884	192652
69	6969	192160
70	7053	191624
71	7132	190993
72	7205	190208
73	7259	188951
74	7331	188177
75	7416	187744
76	7488	187019
77	7564	186396
78	7641	185822
79	7725	185401
80	7804	184897
81	7897	184733
82	7978	184285
83	8054	183725
84	8136	183306
85	8217	182893
86	8304	182597
87	8398	182472
88	8485	182191
89	8572	181937
90	8667	181822
91	8730	181058
92	8814	180735
93	8903	180541
94	8998	180442
95	9107	180638
96	9206	180620
97	9282	180153
98	9371	179952
99	9453	179613
100	9527	179133
101	9611	178850
102	9694	178551
103	9770	178118
104	9854	177859
105	9939	177604
106	10021	177292
107	10102	176973
108	10187	176744
109	10271	176487
110	10310	175458
111	10337	174262
112	10419	174004
113	10497	173664
114	10625	174161
115	10710	173948
116	10795	173750
117	10869	173351
118	10907	172411
119	10949	171542
120	11027	171246
121	11115	171101
122	11132	169880
123	11215	169684
124	11311	169670
125	11400	169552
126	11477	169267
127	11550	168924
128	11630	168686
129	11718	168569
130	11800	168364
131	11887	168219
132	11983	168221
133	12072	168112
134	12155	167925
135	12231	167640
136	12306	167344
137	12393	167227
138	12478	167073
139	12581	167149
140	12683	167228
141	12768	167067
142	12847	166836
143	12920	166535
144	13008	166423
145	13094	166287
146	13176	166096
147	13259	165928
148	13335	165667
149	13424	165564
150	13529	165663
151	13648	165942
152	13758	166088
153	13907	166715
154	14022	166917
155	14135	167086
156	14216	166887
157	14302	166736
158	14426	167038
159	14539	167198
160	14622	167026
161	14697	166758
162	14774	166512
163	14878	166564
164	14921	165942
165	14961	165293
166	15035	165034
167	15117	164855
168	15206	164757
169	15282	164513
170	15378	164488
171	15466	164379
172	15549	164213
173	15633	164066
174	15714	163884
175	15791	163654
176	15867	163424
177	15958	163349
178	16036	163141
179	16119	162985
180	16198	162790
181	16269	162515
182	16286	161705
183	16363	161497
184	16438	161277
185	16515	161067
186	16606	161005
187	16675	160724
188	16757	160570
189	16846	160486
190	16917	160228
191	16995	160036
192	17048	159616
193	17118	159361
194	17160	158846
195	17262	158887
196	17395	159208
197	17519	159449
198	17636	159614
199	17802	160225
200	17945	160614
